"Case","N","Method","Est","Var","Bias","RBias"
1,200,"Est",0.44328,0.28514,-0.03041,-6.41909
1,200,"Est1",0.49053,0.13553,0.01685,3.55692
1,200,"Est2",0.49178,0.13499,0.0181,3.82122
1,300,"Est",0.45108,0.16638,-0.02261,-4.77224
1,300,"Est1",0.47633,0.11232,0.00265,0.55851
1,300,"Est2",0.47717,0.11271,0.00349,0.73584
1,600,"Est",0.46289,0.0669,-0.0108,-2.27959
1,600,"Est1",0.47326,0.05871,-0.00043,-0.09039
1,600,"Est2",0.47348,0.05861,-2e-04,-0.04301
2,200,"Est",0.20021,0.69585,-0.05905,-22.77691
2,200,"Est1",0.29457,0.24451,0.03531,13.61906
2,200,"Est2",0.28982,0.25111,0.03056,11.78634
2,300,"Est",0.21685,0.43035,-0.04241,-16.35755
2,300,"Est1",0.26806,0.21867,0.0088,3.39405
2,300,"Est2",0.267,0.22872,0.00774,2.98554
2,600,"Est",0.23837,0.15429,-0.02089,-8.05703
2,600,"Est1",0.25761,0.12941,-0.00165,-0.6348
2,600,"Est2",0.25774,0.12956,-0.00152,-0.58657
3,200,"Est",0.09928,0.10559,-0.00786,-7.33766
3,200,"Est1",0.11006,0.09423,0.00292,2.72284
3,200,"Est2",0.11009,0.09443,0.00295,2.75006
3,300,"Est",0.0992,0.06951,-0.00795,-7.41654
3,300,"Est1",0.10605,0.06514,-0.0011,-1.02386
3,300,"Est2",0.10606,0.06518,-0.00108,-1.00622
3,600,"Est",0.1044,0.03336,-0.00275,-2.56439
3,600,"Est1",0.10757,0.03241,0.00042,0.39605
3,600,"Est2",0.10757,0.03241,0.00043,0.40123
