"","Case","N","Method","Est","Var","Bias","RBias"
"1",1,200,"Est",0.45936,0.10605,-0.01704,-3.57661
"2",1,200,"Est12",0.47806,0.10881,0.00167,0.34977
"3",1,200,"Est22",0.47833,0.10788,0.00194,0.40688
"4",1,300,"Est",0.46366,0.06603,-0.01273,-2.67263
"5",1,300,"Est12",0.47538,0.06686,-0.00101,-0.21196
"6",1,300,"Est22",0.47544,0.06679,-0.00096,-0.20099
"7",1,600,"Est",0.46995,0.03031,-0.00644,-1.35278
"8",1,600,"Est12",0.47542,0.0305,-0.00097,-0.20382
"9",1,600,"Est22",0.47543,0.0305,-0.00097,-0.20278
"10",2,200,"Est",0.27977,0.08515,-0.01951,-6.51957
"11",2,200,"Est12",0.29275,0.09056,-0.00653,-2.18308
"12",2,200,"Est22",0.29329,0.08907,-0.006,-2.00326
"13",2,300,"Est",0.285,0.0536,-0.01428,-4.77288
"14",2,300,"Est12",0.29331,0.05541,-0.00597,-1.9952
"15",2,300,"Est22",0.29343,0.0552,-0.00586,-1.95755
"16",2,600,"Est",0.29343,0.02699,-0.00586,-1.95793
"17",2,600,"Est12",0.29736,0.0274,-0.00193,-0.64467
"18",2,600,"Est22",0.29737,0.02739,-0.00192,-0.64052
"19",3,200,"Est",0.09137,0.02066,-0.00976,-9.65352
"20",3,200,"Est12",0.09412,0.02292,-0.00701,-6.9327
"21",3,200,"Est22",0.09502,0.02198,-0.00611,-6.0433
"22",3,300,"Est",0.09408,0.01371,-0.00706,-6.97882
"23",3,300,"Est12",0.09604,0.01445,-0.00509,-5.03718
"24",3,300,"Est22",0.09632,0.01424,-0.00481,-4.75934
"25",3,600,"Est",0.09743,0.00679,-0.0037,-3.66283
"26",3,600,"Est12",0.0984,0.00693,-0.00273,-2.70004
"27",3,600,"Est22",0.09845,0.00691,-0.00268,-2.65405
