"","Case","N","Method","Est","Var","Bias","RBias"
"1",1,200,"Est",0.81873,0.11575,0.00778,0.9589
"2",1,200,"Est1",0.80267,0.11459,-0.00828,-1.02094
"3",1,200,"Est2",0.80411,0.11532,-0.00684,-0.84294
"4",1,300,"Est",0.81837,0.07221,0.00742,0.91482
"5",1,300,"Est1",0.80844,0.07176,-0.00251,-0.30944
"6",1,300,"Est2",0.80896,0.07195,-0.00199,-0.24564
"7",1,600,"Est",0.8145,0.03491,0.00355,0.43771
"8",1,600,"Est1",0.80988,0.03484,-0.00107,-0.13202
"9",1,600,"Est2",0.80999,0.03485,-0.00096,-0.11882
"10",2,200,"Est",1.01269,0.09142,0.0105,1.0481
"11",2,200,"Est1",0.99691,0.09534,-0.00528,-0.52649
"12",2,200,"Est2",0.99875,0.09059,-0.00344,-0.3431
"13",2,300,"Est",1.01142,0.05936,0.00923,0.92116
"14",2,300,"Est1",1.00162,0.05858,-0.00056,-0.05629
"15",2,300,"Est2",1.00231,0.0589,0.00012,0.0121
"16",2,600,"Est",1.00517,0.02964,0.00299,0.29844
"17",2,600,"Est1",1.0006,0.02951,-0.00158,-0.15809
"18",2,600,"Est2",1.00074,0.02954,-0.00145,-0.14425
"19",3,200,"Est",2.19863,0.15219,0.01808,0.82904
"20",3,200,"Est1",2.16601,0.18065,-0.01453,-0.66653
"21",3,200,"Est2",2.17243,0.15307,-0.00812,-0.37249
"22",3,300,"Est",2.19466,0.09725,0.01411,0.64713
"23",3,300,"Est1",2.17473,0.09528,-0.00582,-0.26677
"24",3,300,"Est2",2.17713,0.09706,-0.00342,-0.15665
"25",3,600,"Est",2.18644,0.04839,0.00589,0.26995
"26",3,600,"Est1",2.17722,0.0481,-0.00333,-0.15258
"27",3,600,"Est2",2.17768,0.04826,-0.00286,-0.13138
