"","Case","N","Method","Est","Var","Bias","RBias"
"1",1,200,"Est",0.71748,0.46962,-0.02035,-2.75811
"2",1,200,"Est1",0.72346,2.25482,-0.01437,-1.94705
"3",1,200,"Est2",0.73507,0.45706,-0.00275,-0.37336
"4",1,300,"Est",0.72144,0.29574,-0.01639,-2.22177
"5",1,300,"Est1",0.72831,0.34892,-0.00952,-1.29011
"6",1,300,"Est2",0.73181,0.28968,-0.00602,-0.81581
"7",1,600,"Est",0.72852,0.13596,-0.00931,-1.26233
"8",1,600,"Est1",0.73251,0.13442,-0.00532,-0.72167
"9",1,600,"Est2",0.73299,0.1345,-0.00484,-0.65662
"10",2,200,"Est",0.403,0.24096,-0.02505,-5.85252
"11",2,200,"Est1",0.41484,0.88073,-0.01321,-3.08655
"12",2,200,"Est2",0.42079,0.23157,-0.00725,-1.69477
"13",2,300,"Est",0.40914,0.15122,-0.0189,-4.41618
"14",2,300,"Est1",0.41832,0.14698,-0.00973,-2.27355
"15",2,300,"Est2",0.42025,0.1471,-0.0078,-1.82206
"16",2,600,"Est",0.42049,0.07634,-0.00756,-1.76637
"17",2,600,"Est1",0.42522,0.07523,-0.00283,-0.66031
"18",2,600,"Est2",0.42557,0.0753,-0.00248,-0.57853
"19",3,200,"Est",0.22148,0.12381,-0.02386,-9.72443
"20",3,200,"Est1",0.23312,2.41426,-0.01222,-4.97955
"21",3,200,"Est2",0.24228,0.11945,-0.00306,-1.24874
"22",3,300,"Est",0.22825,0.08262,-0.01709,-6.96598
"23",3,300,"Est1",0.2387,0.13768,-0.00664,-2.70634
"24",3,300,"Est2",0.24195,0.08006,-0.0034,-1.38389
"25",3,600,"Est",0.23617,0.0407,-0.00918,-3.74035
"26",3,600,"Est1",0.24258,0.03985,-0.00277,-1.12749
"27",3,600,"Est2",0.24279,0.03997,-0.00255,-1.04
