"Case","N","Method","Est","Var","Bias","RBias"
1,200,"Est",0.4403,0.25623,-0.02124,-4.6024
1,200,"Est1",0.45155,0.17552,-0.00999,-2.16396
1,200,"Est2",0.46681,0.20498,0.00527,1.14236
1,300,"Est",0.45421,0.13001,-0.00733,-1.58718
1,300,"Est1",0.46316,0.10057,0.00163,0.35222
1,300,"Est2",0.46844,0.10756,0.0069,1.49496
1,600,"Est",0.45548,0.05426,-0.00606,-1.31274
1,600,"Est1",0.46036,0.04897,-0.00118,-0.25567
1,600,"Est2",0.46148,0.04947,-6e-05,-0.01256
2,200,"Est",0.23844,0.25917,-0.02267,-8.68084
2,200,"Est1",0.26483,0.21103,0.00373,1.42725
2,200,"Est2",0.27175,0.23387,0.01064,4.07666
2,300,"Est",0.24744,0.14849,-0.01367,-5.23472
2,300,"Est1",0.2658,0.13152,0.00469,1.79636
2,300,"Est2",0.26812,0.13575,0.00701,2.68539
2,600,"Est",0.25474,0.06738,-0.00636,-2.43705
2,600,"Est1",0.26407,0.06354,0.00296,1.13551
2,600,"Est2",0.2646,0.06394,0.00349,1.33636
3,200,"Est",0.11394,0.06676,-0.01092,-8.74853
3,200,"Est1",0.11783,0.06717,-0.00703,-5.63004
3,200,"Est2",0.12541,0.07147,0.00055,0.44275
3,300,"Est",0.11807,0.03642,-0.00679,-5.43617
3,300,"Est1",0.12249,0.03976,-0.00237,-1.89907
3,300,"Est2",0.12497,0.03767,0.00011,0.09077
3,600,"Est",0.12217,0.01748,-0.00269,-2.15164
3,600,"Est1",0.12515,0.01748,0.00029,0.23001
3,600,"Est2",0.12551,0.01766,0.00065,0.51728
