"Case","N","Method","Est","Var","Bias","RBias"
1,200,"Est",4.21437,202.99496,1.22892,41.16362
1,200,"Est1",2.81887,64.08219,-0.16657,-5.57952
1,200,"Est2",3.28878,51.42587,0.30333,10.16043
1,300,"Est",3.61328,51.09438,0.62783,21.02967
1,300,"Est1",3.065,17.62637,0.07955,2.66466
1,300,"Est2",3.15858,24.68035,0.17313,5.79911
1,600,"Est",3.23803,9.3629,0.25258,8.46034
1,600,"Est1",3.05261,7.44087,0.06716,2.2496
1,600,"Est2",3.06349,7.60605,0.07804,2.61409
2,200,"Est",3.48339,68.9212,0.71366,25.76644
2,200,"Est1",2.84184,17.69134,0.07211,2.60333
2,200,"Est2",2.99478,22.06757,0.22505,8.12519
2,300,"Est",3.14331,13.75135,0.37358,13.4879
2,300,"Est1",2.87499,8.08186,0.10526,3.80039
2,300,"Est2",2.90065,9.01984,0.13092,4.72698
2,600,"Est",2.93354,3.8823,0.16381,5.91418
2,600,"Est1",2.82893,3.35138,0.0592,2.13724
2,600,"Est2",2.83276,3.38068,0.06303,2.2756
3,200,"Est",3.38645,71.46348,0.71866,26.93847
3,200,"Est1",2.64125,14.70426,-0.02654,-0.99465
3,200,"Est2",2.82182,23.24667,0.15403,5.77372
3,300,"Est",3.08316,20.11329,0.41537,15.56999
3,300,"Est1",2.73382,9.06396,0.06604,2.47529
3,300,"Est2",2.77769,11.25679,0.10991,4.11973
3,600,"Est",2.83792,4.70311,0.17013,6.37719
3,600,"Est1",2.70902,3.82193,0.04123,1.54539
3,600,"Est2",2.71507,3.88622,0.04728,1.77211
