"Case","N","Method","Est","Var","Bias","RBias"
1,200,"Est",3.12021,44.05437,0.56662,22.18907
1,200,"Est1",2.66637,23.12968,0.11278,4.41656
1,200,"Est2",2.7321,26.97357,0.17851,6.99058
1,300,"Est",2.90954,18.09802,0.35595,13.93914
1,300,"Est1",2.66478,12.95964,0.11119,4.35424
1,300,"Est2",2.68561,13.57216,0.13202,5.16981
1,600,"Est",2.69618,5.67061,0.14259,5.58379
1,600,"Est1",2.59661,5.00774,0.04302,1.68476
1,600,"Est2",2.6003,5.04134,0.04671,1.82935
2,200,"Est",1.56087,2.94883,0.12754,8.89831
2,200,"Est1",1.4857,2.32228,0.05237,3.65364
2,200,"Est2",1.48978,2.3775,0.05645,3.93808
2,300,"Est",1.5121,1.41326,0.07877,5.49542
2,300,"Est1",1.46869,1.24908,0.03536,2.4667
2,300,"Est2",1.47002,1.25692,0.03669,2.55969
2,600,"Est",1.47162,0.58839,0.03829,2.67168
2,600,"Est1",1.4523,0.55873,0.01897,1.32368
2,600,"Est2",1.45256,0.55933,0.01923,1.34196
3,200,"Est",1.16493,0.22967,0.01465,1.27402
3,200,"Est1",1.15541,0.2039,0.00514,0.44685
3,200,"Est2",1.15554,0.20457,0.00526,0.45749
3,300,"Est",1.16034,0.11769,0.01006,0.87479
3,300,"Est1",1.15494,0.10979,0.00466,0.40523
3,300,"Est2",1.15497,0.10989,0.0047,0.4082
3,600,"Est",1.15599,0.05185,0.00572,0.49695
3,600,"Est1",1.15366,0.05024,0.00339,0.29471
3,600,"Est2",1.15367,0.05025,0.0034,0.29519
