"Case","N","Method","Est","Var","Bias","RBias"
1,200,"Est",0.46098,0.88064,-0.01505,-3.16243
1,200,"Est12",0.46391,2.00578,-0.01213,-2.54808
1,200,"Est22",0.49301,0.6588,0.01697,3.56551
1,300,"Est",0.46285,0.47997,-0.01319,-2.77072
1,300,"Est12",0.46583,1.17352,-0.01021,-2.14556
1,300,"Est22",0.47859,0.27197,0.00255,0.53609
1,600,"Est",0.47056,0.12839,-0.00548,-1.15148
1,600,"Est12",0.47785,0.10736,0.00181,0.38014
1,600,"Est22",0.47871,0.1095,0.00267,0.56053
2,200,"Est",0.26147,0.93067,-0.04295,-14.10824
2,200,"Est12",0.28451,1.39103,-0.01991,-6.5393
2,200,"Est22",0.28481,0.75152,-0.0196,-6.439
2,300,"Est",0.27122,0.44603,-0.03319,-10.9034
2,300,"Est12",0.28635,0.61219,-0.01807,-5.93514
2,300,"Est22",0.28826,0.40146,-0.01615,-5.30575
2,600,"Est",0.28949,0.16511,-0.01493,-4.9035
2,600,"Est12",0.29841,0.16408,-0.006,-1.97241
2,600,"Est22",0.29849,0.16671,-0.00592,-1.94607
3,200,"Est",0.12028,0.76493,-0.06136,-33.78353
3,200,"Est12",0.14052,0.94056,-0.04112,-22.63838
3,200,"Est22",0.1344,1.00412,-0.04724,-26.00997
3,300,"Est",0.1381,0.4533,-0.04354,-23.96809
3,300,"Est12",0.14745,0.53678,-0.03419,-18.82288
3,300,"Est22",0.14666,0.55598,-0.03498,-19.26052
3,600,"Est",0.16459,0.17712,-0.01705,-9.38899
3,600,"Est12",0.17011,0.19348,-0.01153,-6.3499
3,600,"Est22",0.17014,0.19437,-0.0115,-6.33239
