"Case","N","Method","Est","Var","Bias","RBias"
1,200,"Est",1.98639,10.73145,0.29119,17.17716
1,200,"Est1",1.64336,3.26024,-0.05184,-3.05818
1,200,"Est2",1.7536,4.07486,0.0584,3.44502
1,300,"Est",1.85986,4.33785,0.16466,9.71343
1,300,"Est1",1.70156,1.87169,0.00636,0.37526
1,300,"Est2",1.72975,2.46062,0.03455,2.03809
1,600,"Est",1.75944,1.09102,0.06424,3.7895
1,600,"Est1",1.69948,0.88072,0.00428,0.2526
1,600,"Est2",1.70391,0.90226,0.00871,0.51403
2,200,"Est",2.58952,18.71729,0.38604,17.51936
2,200,"Est1",2.15398,4.35742,-0.04951,-2.24696
2,200,"Est2",2.29815,6.92801,0.09466,4.29602
2,300,"Est",2.42345,7.33213,0.21997,9.9826
2,300,"Est1",2.22263,3.10753,0.01915,0.86891
2,300,"Est2",2.2617,4.04508,0.05822,2.64196
2,600,"Est",2.28615,1.66946,0.08266,3.75154
2,600,"Est1",2.2122,1.37224,0.00871,0.39544
2,600,"Est2",2.218,1.403,0.01451,0.65849
3,200,"Est",3.23832,20.87585,0.48357,17.55412
3,200,"Est1",2.71301,5.96316,-0.04174,-1.51535
3,200,"Est2",2.86865,8.56787,0.1139,4.1348
3,300,"Est",3.02196,8.04205,0.26721,9.69996
3,300,"Est1",2.77224,4.1513,0.01749,0.63488
3,300,"Est2",2.81407,5.02174,0.05932,2.1534
3,600,"Est",2.87337,2.17117,0.11862,4.30594
3,600,"Est1",2.7721,1.80281,0.01735,0.62988
3,600,"Est2",2.77977,1.83977,0.02502,0.90828
