"Case","N","Method","Est","Var","Bias","RBias"
1,200,"Est",1.69215,1.76349,0.07684,4.75671
1,200,"Est1",1.50909,3.43353,-0.10622,-6.57574
1,200,"Est2",1.58842,1.71296,-0.02689,-1.66446
1,300,"Est",1.65556,1.13548,0.04025,2.49197
1,300,"Est1",1.55434,1.04622,-0.06097,-3.77456
1,300,"Est2",1.58299,1.1119,-0.03232,-2.00092
1,600,"Est",1.63866,0.55691,0.02335,1.44568
1,600,"Est1",1.59457,0.54522,-0.02075,-1.28433
1,600,"Est2",1.60068,0.55057,-0.01463,-0.90586
2,200,"Est",1.48969,1.92228,0.07664,5.42349
2,200,"Est1",1.29775,32.85204,-0.1153,-8.15965
2,200,"Est2",1.37309,1.77682,-0.03996,-2.82827
2,300,"Est",1.46017,1.26655,0.04711,3.33416
2,300,"Est1",1.34821,1.31525,-0.06485,-4.58931
2,300,"Est2",1.3782,1.19556,-0.03485,-2.46632
2,600,"Est",1.4395,0.61047,0.02645,1.87171
2,600,"Est1",1.38932,0.58569,-0.02374,-1.67991
2,600,"Est2",1.39627,0.59276,-0.01679,-1.18795
3,200,"Est",1.32432,1.85863,0.07211,5.75844
3,200,"Est1",1.13529,8.42825,-0.11693,-9.33768
3,200,"Est2",1.2083,1.63847,-0.04391,-3.50694
3,300,"Est",1.29351,1.14594,0.04129,3.2976
3,300,"Est1",1.18405,0.9772,-0.06817,-5.44393
3,300,"Est2",1.21315,1.05224,-0.03907,-3.11991
3,600,"Est",1.2793,0.54371,0.02709,2.16314
3,600,"Est1",1.23037,0.51378,-0.02184,-1.7444
3,600,"Est2",1.23679,0.52041,-0.01542,-1.2316
